dwell_time,container_size,customs_delay,is_peak_season,month,day_of_week,week_of_year,quarter,is_week,forwarder_volume,container_type_Hazard,container_type_Reefer,cargo_type_Electronics,cargo_type_Rice,cargo_type_Textile,cargo_type_Vehicles,origin_country_France,origin_country_India,origin_country_Morocco,origin_country_Turkey,freight_forwarder_DakarLog,freight_forwarder_FastForward,freight_forwarder_GlobalTrade,freight_forwarder_SahelTransit
12,20,4,1,4,3,15,2,0,20114,True,False,False,False,False,True,False,False,False,True,False,False,True,False
10,40,4,1,12,4,50,4,0,20081,False,False,False,True,False,False,True,False,False,False,False,False,False,False
10,40,0,0,9,3,39,3,0,19961,True,False,False,False,False,False,False,False,False,True,False,False,False,True
14,40,5,1,4,0,16,2,0,19859,False,True,False,True,False,False,True,False,False,False,False,True,False,False
14,20,5,1,3,0,11,1,0,20081,False,True,True,False,False,False,False,False,False,False,False,False,False,False
7,40,0,0,7,5,27,3,1,19859,False,True,False,False,True,False,False,False,False,False,False,True,False,False
7,20,3,0,1,5,3,1,1,20081,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8,20,0,1,4,3,15,2,0,19985,True,False,False,False,False,False,True,False,False,False,True,False,False,False
11,20,5,0,5,1,18,2,0,19985,True,False,False,True,False,False,False,False,True,False,True,False,False,False
7,40,2,0,8,3,31,3,0,19985,False,False,False,False,True,False,False,False,False,True,True,False,False,False
9,40,4,0,11,0,48,4,0,19985,False,False,False,False,True,False,False,False,True,False,True,False,False,False
12,20,4,1,3,2,13,1,0,20114,False,True,False,False,False,True,False,True,False,False,False,False,True,False
13,20,2,1,4,0,15,2,0,19961,False,True,True,False,False,False,False,False,True,False,False,False,False,True
9,20,2,1,12,1,52,4,0,20114,False,False,False,False,True,False,False,False,False,True,False,False,True,False
10,40,5,0,6,3,22,2,0,20081,False,True,False,False,True,False,False,False,False,True,False,False,False,False
15,20,5,0,5,3,19,2,0,19961,False,True,False,False,True,False,False,False,True,False,False,False,False,True
14,20,4,0,5,1,22,2,0,19961,True,False,False,False,False,True,True,False,False,False,False,False,False,True
6,40,0,0,11,6,44,4,1,20081,False,True,False,False,False,True,False,False,False,False,False,False,False,False
9,20,1,0,9,4,37,3,0,19961,False,True,False,False,False,False,False,False,False,True,False,False,False,True
10,40,1,1,12,6,49,4,1,20114,False,True,False,False,True,False,True,False,False,False,False,False,True,False
11,40,3,0,10,5,42,4,1,19985,True,False,False,False,False,True,False,False,False,True,True,False,False,False
12,20,5,0,7,1,28,3,0,19985,True,False,True,False,False,False,True,False,False,False,True,False,False,False
7,20,0,0,10,2,40,4,0,20114,False,True,False,False,False,True,False,False,True,False,False,False,True,False
13,40,3,0,6,5,23,2,1,19961,True,False,False,True,False,False,False,False,False,False,False,False,False,True
11,20,4,0,11,4,45,4,0,19985,False,True,True,False,False,False,False,True,False,False,True,False,False,False
9,20,2,0,1,6,3,1,1,19859,False,True,False,False,False,False,False,False,True,False,False,True,False,False
12,40,4,0,9,6,36,3,1,20114,True,False,False,False,True,False,False,False,False,True,False,False,True,False
9,20,3,0,8,3,34,3,0,20081,False,True,False,True,False,False,False,True,False,False,False,False,False,False
6,40,0,1,12,0,50,4,0,19859,False,False,True,False,False,False,False,False,True,False,False,True,False,False
9,40,3,0,2,5,7,1,1,20114,True,False,False,False,False,True,False,True,False,False,False,False,True,False
11,20,5,0,2,1,9,1,0,20114,False,True,True,False,False,False,False,False,True,False,False,False,True,False
5,20,1,0,6,0,25,2,0,20114,False,False,False,True,False,False,False,False,True,False,False,False,True,False
7,40,2,0,7,4,27,3,0,20114,False,False,False,False,True,False,False,True,False,False,False,False,True,False
6,20,2,0,9,3,39,3,0,19985,False,False,True,False,False,False,False,True,False,False,True,False,False,False
10,40,4,0,7,6,27,3,1,19859,False,True,False,False,False,True,True,False,False,False,False,True,False,False
5,40,0,0,6,5,25,2,1,19985,False,False,False,False,False,True,False,True,False,False,True,False,False,False
12,40,2,0,2,0,8,1,0,19961,False,True,False,False,False,False,False,False,False,False,False,False,False,True
12,20,2,1,12,5,52,4,1,20114,True,False,False,True,False,False,True,False,False,False,False,False,True,False
9,40,2,0,2,4,8,1,0,20081,True,False,False,False,False,True,False,False,True,False,False,False,False,False
9,40,3,0,9,4,35,3,0,20081,True,False,False,False,False,True,False,True,False,False,False,False,False,False
9,40,4,0,11,3,46,4,0,19859,False,False,False,False,False,True,False,True,False,False,False,True,False,False
8,20,5,0,5,3,19,2,0,19859,False,False,False,False,False,True,False,False,False,True,False,True,False,False
8,20,3,0,11,4,44,4,0,20114,False,False,False,False,True,False,False,False,False,False,False,False,True,False
7,20,4,0,5,0,20,2,0,19859,False,False,False,False,True,False,False,False,False,True,False,True,False,False
9,40,2,0,1,5,3,1,1,19859,True,False,True,False,False,False,False,False,False,True,False,True,False,False
10,40,2,0,11,5,47,4,1,19961,False,True,False,False,False,False,False,False,False,True,False,False,False,True
6,20,1,0,6,4,24,2,0,19985,False,True,False,False,False,True,False,False,False,True,True,False,False,False
13,20,5,0,10,6,39,4,1,20081,True,False,False,False,False,True,True,False,False,False,False,False,False,False
10,20,1,1,3,3,13,1,0,19985,False,True,False,False,False,False,True,False,False,False,True,False,False,False
7,20,2,0,11,6,45,4,1,20081,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,40,3,0,1,5,2,1,1,20081,False,False,False,True,False,False,False,False,False,False,False,False,False,False
13,20,4,0,8,2,35,3,0,19985,True,False,False,False,True,False,False,False,False,False,True,False,False,False
11,20,4,0,9,4,38,3,0,19859,False,True,False,False,False,True,True,False,False,False,False,True,False,False
12,20,5,1,12,1,50,4,0,19985,False,False,False,False,False,True,False,False,False,True,True,False,False,False
9,20,5,0,2,2,8,1,0,19985,False,False,False,True,False,False,False,True,False,False,True,False,False,False
9,40,4,1,12,2,49,4,0,20081,False,False,True,False,False,False,False,False,False,True,False,False,False,False
9,20,0,1,4,6,13,2,1,19961,False,False,False,True,False,False,False,True,False,False,False,False,False,True
8,20,2,0,9,3,38,3,0,19985,False,True,True,False,False,False,False,False,False,True,True,False,False,False
11,40,2,0,2,5,5,1,1,19961,False,False,True,False,False,False,False,False,False,False,False,False,False,True
8,20,5,0,7,1,30,3,0,19985,False,False,False,True,False,False,False,True,False,False,True,False,False,False
9,40,1,1,3,2,12,1,0,20114,True,False,False,False,False,True,False,False,True,False,False,False,True,False
10,40,3,0,2,6,7,1,1,19985,False,True,False,False,False,False,True,False,False,False,True,False,False,False
6,20,0,1,12,1,52,4,0,20081,False,False,False,False,True,False,True,False,False,False,False,False,False,False
13,20,3,0,1,0,1,1,0,19961,True,False,True,False,False,False,True,False,False,False,False,False,False,True
9,40,0,0,2,3,8,1,0,19961,True,False,False,False,False,True,False,False,False,True,False,False,False,True
15,20,2,1,4,6,15,2,1,19961,True,False,False,True,False,False,False,False,False,False,False,False,False,True
4,20,0,0,9,6,37,3,1,19859,False,False,False,False,False,False,False,True,False,False,False,True,False,False
9,20,5,0,11,0,45,4,0,19985,False,False,False,False,True,False,False,False,False,True,True,False,False,False
14,20,5,0,7,0,28,3,0,19985,True,False,False,False,True,False,False,False,False,False,True,False,False,False
8,40,1,0,8,6,31,3,1,20114,False,True,False,False,False,True,False,False,True,False,False,False,True,False
8,40,0,0,2,0,7,1,0,19859,True,False,False,False,True,False,False,True,False,False,False,True,False,False
7,40,2,0,6,6,23,2,1,20081,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9,20,3,0,7,4,29,3,0,20081,False,True,False,False,False,True,True,False,False,False,False,False,False,False
11,40,4,0,9,2,39,3,0,19859,True,False,False,False,False,True,False,False,True,False,False,True,False,False
13,20,4,1,12,6,50,4,1,20114,False,True,False,False,False,False,False,True,False,False,False,False,True,False
9,20,2,0,10,1,44,4,0,20081,True,False,False,False,False,True,True,False,False,False,False,False,False,False
10,20,5,0,9,3,39,3,0,20081,False,True,False,False,False,False,False,False,True,False,False,False,False,False
6,40,0,0,8,3,31,3,0,20081,False,True,False,False,True,False,False,True,False,False,False,False,False,False
