truck_count,hour,day,lag_1,lag_2,rolling_mean
7,2,6,10.0,11.0,9.333333333333334
10,3,6,7.0,10.0,9.0
7,4,6,10.0,7.0,8.0
17,5,6,7.0,10.0,11.333333333333334
43,6,6,17.0,7.0,22.333333333333332
95,7,6,43.0,17.0,51.666666666666664
129,8,6,95.0,43.0,89.0
134,9,6,129.0,95.0,119.33333333333333
70,10,6,134.0,129.0,111.0
83,11,6,70.0,134.0,95.66666666666667
60,12,6,83.0,70.0,71.0
79,13,6,60.0,83.0,74.0
75,14,6,79.0,60.0,71.33333333333333
88,15,6,75.0,79.0,80.66666666666667
138,16,6,88.0,75.0,100.33333333333333
107,17,6,138.0,88.0,111.0
83,18,6,107.0,138.0,109.33333333333333
68,19,6,83.0,107.0,86.0
50,20,6,68.0,83.0,67.0
42,21,6,50.0,68.0,53.333333333333336
24,22,6,42.0,50.0,38.666666666666664
11,23,6,24.0,42.0,25.666666666666668
10,0,0,11.0,24.0,15.0
16,1,0,10.0,11.0,12.333333333333334
2,2,0,16.0,10.0,9.333333333333334
4,3,0,2.0,16.0,7.333333333333333
11,4,0,4.0,2.0,5.666666666666667
32,5,0,11.0,4.0,15.666666666666666
49,6,0,32.0,11.0,30.666666666666668
81,7,0,49.0,32.0,54.0
121,8,0,81.0,49.0,83.66666666666667
108,9,0,121.0,81.0,103.33333333333333
91,10,0,108.0,121.0,106.66666666666667
70,11,0,91.0,108.0,89.66666666666667
62,12,0,70.0,91.0,74.33333333333333
47,13,0,62.0,70.0,59.666666666666664
72,14,0,47.0,62.0,60.333333333333336
87,15,0,72.0,47.0,68.66666666666667
142,16,0,87.0,72.0,100.33333333333333
131,17,0,142.0,87.0,120.0
85,18,0,131.0,142.0,119.33333333333333
66,19,0,85.0,131.0,94.0
55,20,0,66.0,85.0,68.66666666666667
52,21,0,55.0,66.0,57.666666666666664
27,22,0,52.0,55.0,44.666666666666664
19,23,0,27.0,52.0,32.666666666666664
16,0,1,19.0,27.0,20.666666666666668
8,1,1,16.0,19.0,14.333333333333334
7,2,1,8.0,16.0,10.333333333333334
7,3,1,7.0,8.0,7.333333333333333
12,4,1,7.0,7.0,8.666666666666666
21,5,1,12.0,7.0,13.333333333333334
59,6,1,21.0,12.0,30.666666666666668
87,7,1,59.0,21.0,55.666666666666664
143,8,1,87.0,59.0,96.33333333333333
92,9,1,143.0,87.0,107.33333333333333
98,10,1,92.0,143.0,111.0
78,11,1,98.0,92.0,89.33333333333333
70,12,1,78.0,98.0,82.0
57,13,1,70.0,78.0,68.33333333333333
75,14,1,57.0,70.0,67.33333333333333
80,15,1,75.0,57.0,70.66666666666667
129,16,1,80.0,75.0,94.66666666666667
124,17,1,129.0,80.0,111.0
94,18,1,124.0,129.0,115.66666666666667
64,19,1,94.0,124.0,94.0
45,20,1,64.0,94.0,67.66666666666667
29,21,1,45.0,64.0,46.0
27,22,1,29.0,45.0,33.666666666666664
18,23,1,27.0,29.0,24.666666666666668
11,0,2,18.0,27.0,18.666666666666668
7,1,2,11.0,18.0,12.0
9,2,2,7.0,11.0,9.0
7,3,2,9.0,7.0,7.666666666666667
17,4,2,7.0,9.0,11.0
29,5,2,17.0,7.0,17.666666666666668
57,6,2,29.0,17.0,34.333333333333336
82,7,2,57.0,29.0,56.0
126,8,2,82.0,57.0,88.33333333333333
109,9,2,126.0,82.0,105.66666666666667
80,10,2,109.0,126.0,105.0
76,11,2,80.0,109.0,88.33333333333333
56,12,2,76.0,80.0,70.66666666666667
69,13,2,56.0,76.0,67.0
80,14,2,69.0,56.0,68.33333333333333
85,15,2,80.0,69.0,78.0
125,16,2,85.0,80.0,96.66666666666667
112,17,2,125.0,85.0,107.33333333333333
98,18,2,112.0,125.0,111.66666666666667
64,19,2,98.0,112.0,91.33333333333333
52,20,2,64.0,98.0,71.33333333333333
36,21,2,52.0,64.0,50.666666666666664
34,22,2,36.0,52.0,40.666666666666664
19,23,2,34.0,36.0,29.666666666666668
13,0,3,19.0,34.0,22.0
8,1,3,13.0,19.0,13.333333333333334
7,2,3,8.0,13.0,9.333333333333334
8,3,3,7.0,8.0,7.666666666666667
17,4,3,8.0,7.0,10.666666666666666
29,5,3,17.0,8.0,18.0
65,6,3,29.0,17.0,37.0
95,7,3,65.0,29.0,63.0
