tenure,MonthlyCharges,Contract,PaymentMethod,PaperlessBilling,charge_ratio,Churn
1,29.85,Month-to-month,Electronic check,1,1.0,0
34,56.95,One year,Mailed check,0,0.9758301916025408,0
2,53.85,Month-to-month,Mailed check,1,1.0041782729805013,1
45,42.3,One year,Bank transfer (automatic),0,0.9670344102968218,0
2,70.7,Month-to-month,Electronic check,1,1.0724893917963225,1
8,99.65,Month-to-month,Electronic check,1,1.0292272955343702,1
22,89.1,Month-to-month,Credit card (automatic),1,0.9944903581267219,0
10,29.75,Month-to-month,Mailed check,0,1.0147899159663865,0
28,104.8,Month-to-month,Electronic check,1,1.0380486641221374,1
62,56.15,One year,Bank transfer (automatic),0,1.0019102059575447,0
13,49.95,Month-to-month,Mailed check,1,0.9046739046739047,0
16,18.95,Two year,Credit card (automatic),0,1.0778364116094987,0
58,100.35,One year,Credit card (automatic),0,0.9760837070254113,0
49,103.7,Month-to-month,Bank transfer (automatic),1,0.9911439985830398,1
25,105.5,Month-to-month,Electronic check,1,1.0184075829383887,0
69,113.25,Two year,Credit card (automatic),0,1.010352880954666,0
52,20.65,One year,Mailed check,0,0.9526448128143045,0
71,106.7,Two year,Bank transfer (automatic),0,0.9744644059294851,0
10,55.2,Month-to-month,Credit card (automatic),0,0.9571557971014493,1
21,90.05,Month-to-month,Electronic check,1,0.9851140900557892,0
1,39.65,Month-to-month,Electronic check,1,1.0,1
12,19.8,One year,Bank transfer (automatic),0,0.8512205387205386,0
1,20.15,Month-to-month,Mailed check,0,1.0,1
58,59.9,Two year,Unknown,1,1.0088941339013298,0
49,59.6,Month-to-month,Credit card (automatic),0,1.017086700451993,0
30,55.3,Month-to-month,Bank transfer (automatic),1,0.9226039783001808,0
47,99.35,Month-to-month,Electronic check,1,1.0170683913523006,1
1,30.2,Month-to-month,Electronic check,0,1.0,1
72,90.25,Two year,Credit card (automatic),1,0.9802169898430286,0
17,64.7,Month-to-month,Mailed check,1,0.9938176197836165,1
71,96.35,Two year,Credit card (automatic),1,0.9891972488798907,0
2,95.5,Month-to-month,Credit card (automatic),1,0.9510471204188482,0
27,66.15,One year,Unknown,0,1.0494946949973405,0
1,20.2,Month-to-month,Bank transfer (automatic),0,1.0,0
1,45.25,Month-to-month,Bank transfer (automatic),0,1.0,0
72,99.9,Two year,Bank transfer (automatic),0,1.0081887442998554,0
5,69.7,Month-to-month,Electronic check,1,0.909325681492109,1
46,74.8,Month-to-month,Credit card (automatic),1,1.0312427342478494,0
34,106.35,Month-to-month,Electronic check,1,0.9815675212256977,1
11,97.85,Month-to-month,Bank transfer (automatic),1,1.0269893621963118,1
10,49.55,One year,Mailed check,0,0.9600403632694248,0
70,69.2,Two year,Credit card (automatic),1,1.0058526011560693,0
17,20.75,One year,Mailed check,0,1.1856839121190645,0
63,79.85,Two year,Credit card (automatic),1,0.9663853852958425,0
13,76.2,Month-to-month,Electronic check,1,0.99076317383404,0
49,84.5,Month-to-month,Electronic check,1,0.9435333896872358,0
2,49.25,Month-to-month,Mailed check,0,0.9847715736040609,0
2,80.65,Month-to-month,Electronic check,1,0.893676379417235,1
52,79.75,Two year,Credit card (automatic),1,1.017072582589824,0
69,64.15,Two year,Credit card (automatic),1,0.961085318603364,0
43,90.25,Month-to-month,Electronic check,1,0.9891773497390969,0
15,70.45,Month-to-month,Credit card (automatic),1,1.3497989117577478,1
25,69.5,Month-to-month,Credit card (automatic),1,1.0087194244604316,0
8,80.65,Month-to-month,Credit card (automatic),1,0.9815561066336018,1
60,74.85,One year,Credit card (automatic),1,0.9922845691382767,0
18,95.45,Month-to-month,Electronic check,1,1.0200512193702345,1
63,99.65,One year,Credit card (automatic),1,1.005296314879857,0
66,108.45,One year,Electronic check,1,0.9886346172653228,0
34,24.95,Two year,Credit card (automatic),0,1.0542260992573382,0
72,107.5,Two year,Credit card (automatic),1,1.01468992248062,0
47,100.5,Month-to-month,Electronic check,1,0.9965279983063408,0
60,89.9,Month-to-month,Bank transfer (automatic),1,1.010511679644049,0
72,42.1,Two year,Bank transfer (automatic),0,0.977170757455793,0
18,54.4,One year,Credit card (automatic),1,0.9774305555555557,0
9,94.4,Month-to-month,Electronic check,0,1.0090042372881356,1
3,75.3,Month-to-month,Electronic check,1,1.0805666223992918,0
47,78.9,One year,Electronic check,1,0.9843728932394897,0
31,79.2,Two year,Mailed check,0,1.0171065493646136,0
50,70.45,Two year,Bank transfer (automatic),0,0.2642725337118524,0
10,79.85,Month-to-month,Mailed check,1,1.1112711333750782,0
1,49.05,Month-to-month,Mailed check,0,1.0,0
52,20.4,One year,Electronic check,1,1.0281391402714934,0
64,111.6,Two year,Bank transfer (automatic),1,0.9939236111111112,0
62,24.25,Two year,Bank transfer (automatic),1,0.9475224476222148,0
3,64.5,Month-to-month,Bank transfer (automatic),1,0.9167958656330749,0
56,110.5,One year,Electronic check,0,0.9921622495151907,0
46,70.45,One year,Credit card (automatic),0,0.8297127163884345,0
8,54.65,Month-to-month,Mailed check,0,1.10304208600183,0
30,74.75,Month-to-month,Electronic check,1,0.9414938684503903,0
45,25.9,One year,Credit card (automatic),1,1.0438438438438438,0
1,79.35,Month-to-month,Electronic check,1,1.0,1
11,50.55,Month-to-month,Electronic check,0,1.0167251146479634,0
7,75.15,Month-to-month,Bank transfer (automatic),1,0.9445870164433037,1
42,103.8,Month-to-month,Bank transfer (automatic),1,0.9926369391687312,0
49,20.15,Two year,Bank transfer (automatic),1,0.9858206309819214,0
9,99.3,Month-to-month,Credit card (automatic),1,1.0280295401141324,0
35,62.15,One year,Bank transfer (automatic),1,1.0184806344098378,0
48,20.65,Two year,Bank transfer (automatic),0,1.0663841807909604,0
46,19.95,Two year,Mailed check,1,1.0102429988013513,0
29,33.75,Month-to-month,Mailed check,0,1.031162196679438,0
30,82.05,Month-to-month,Unknown,0,1.0441600650010157,0
1,74.7,Month-to-month,Electronic check,0,1.0,0
66,84.0,Two year,Mailed check,1,1.0307088744588744,0
65,111.05,Month-to-month,Credit card (automatic),1,0.9845876770685416,0
72,100.9,Two year,Bank transfer (automatic),1,1.0267385199867856,0
12,78.95,Month-to-month,Electronic check,1,0.9788368165505593,1
71,66.85,One year,Credit card (automatic),1,1.0004951173006627,0
5,21.05,Month-to-month,Mailed check,0,1.081710213776722,1
52,21.0,Two year,Bank transfer (automatic),0,1.0139194139194139,0
25,98.5,Month-to-month,Electronic check,1,1.0211167512690356,1
1,20.2,Month-to-month,Mailed check,0,1.0,0
1,19.45,Month-to-month,Electronic check,0,1.0,0
38,95.0,One year,Bank transfer (automatic),0,0.998781163434903,0
66,70.45,One year,Bank transfer (automatic),0,0.6510635094737295,0
68,110.0,Two year,Bank transfer (automatic),1,1.0176270053475935,1
5,24.3,Month-to-month,Mailed check,0,0.8246913580246914,0
72,104.15,One year,Electronic check,1,0.9738958233317331,0
32,30.15,One year,Mailed check,0,0.9614946102819237,0
43,94.35,One year,Mailed check,0,0.9665397271416425,0
72,19.4,Two year,Credit card (automatic),0,0.9759808132875144,0
55,96.75,Month-to-month,Electronic check,1,0.9845243128964059,1
52,57.95,One year,Credit card (automatic),0,1.0095739032322293,0
43,91.65,Month-to-month,Electronic check,1,1.00333675890331,0
37,70.45,Month-to-month,Electronic check,1,1.1003203345289931,1
64,54.6,Two year,Electronic check,1,0.9797103937728937,0
3,89.85,Month-to-month,Electronic check,0,0.921535893155259,0
36,70.45,Two year,Bank transfer (automatic),0,0.44410929737402405,0
10,100.25,Month-to-month,Electronic check,1,1.061995012468828,1
41,20.65,Two year,Mailed check,0,0.9864170554538475,0
27,85.2,Month-to-month,Credit card (automatic),1,0.9353155972874282,0
56,99.8,One year,Credit card (automatic),1,0.9868755367878613,0
6,20.7,Month-to-month,Mailed check,0,0.9078099838969405,0
3,74.4,Month-to-month,Electronic check,1,1.0284498207885304,1
7,50.7,Month-to-month,Mailed check,0,0.9871794871794871,0
4,20.85,Month-to-month,Mailed check,0,0.7541966426858513,0
33,88.95,Two year,Electronic check,1,1.03144429114075,0
27,78.05,Month-to-month,Electronic check,1,1.013358008873704,1
72,23.55,Two year,Bank transfer (automatic),1,1.01671974522293,0
1,19.75,Month-to-month,Mailed check,0,1.0,0
71,56.45,One year,Electronic check,1,0.9943612071008869,0
13,85.95,Month-to-month,Electronic check,1,1.0879760146775852,0
