Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName
2020-07-22 20:00:00+02:00,2020-07-22,20:00:00,21:00:00,Solar,244.0,204,Wednesday,July
2020-07-23 07:00:00+02:00,2020-07-23,07:00:00,08:00:00,Solar,223.0,205,Thursday,July
2020-07-23 16:00:00+02:00,2020-07-23,16:00:00,17:00:00,Solar,2517.0,205,Thursday,July
2020-07-23 19:00:00+02:00,2020-07-23,19:00:00,20:00:00,Solar,658.0,205,Thursday,July
2020-07-23 23:00:00+02:00,2020-07-23,23:00:00,24:00:00,Solar,0.0,205,Thursday,July
2020-07-24 01:00:00+02:00,2020-07-24,01:00:00,02:00:00,Solar,0.0,206,Friday,July
2020-07-24 04:00:00+02:00,2020-07-24,04:00:00,05:00:00,Solar,0.0,206,Friday,July
2020-07-24 05:00:00+02:00,2020-07-24,05:00:00,06:00:00,Solar,0.0,206,Friday,July
2020-07-24 10:00:00+02:00,2020-07-24,10:00:00,11:00:00,Solar,2708.0,206,Friday,July
2020-07-24 14:00:00+02:00,2020-07-24,14:00:00,15:00:00,Solar,3851.0,206,Friday,July
2020-07-24 16:00:00+02:00,2020-07-24,16:00:00,17:00:00,Solar,3261.0,206,Friday,July
2020-07-24 23:00:00+02:00,2020-07-24,23:00:00,24:00:00,Solar,0.0,206,Friday,July
2020-07-25 04:00:00+02:00,2020-07-25,04:00:00,05:00:00,Solar,0.0,207,Saturday,July
2020-07-25 06:00:00+02:00,2020-07-25,06:00:00,07:00:00,Solar,13.0,207,Saturday,July
2020-07-25 07:00:00+02:00,2020-07-25,07:00:00,08:00:00,Solar,220.0,207,Saturday,July
2020-07-25 08:00:00+02:00,2020-07-25,08:00:00,09:00:00,Solar,908.0,207,Saturday,July
2020-07-25 10:00:00+02:00,2020-07-25,10:00:00,11:00:00,Solar,2598.0,207,Saturday,July
2020-07-25 21:00:00+02:00,2020-07-25,21:00:00,22:00:00,Solar,15.0,207,Saturday,July
2020-07-25 23:00:00+02:00,2020-07-25,23:00:00,24:00:00,Solar,2.0,207,Saturday,July
2020-07-26 03:00:00+02:00,2020-07-26,03:00:00,04:00:00,Solar,0.0,208,Sunday,July
2020-07-26 06:00:00+02:00,2020-07-26,06:00:00,07:00:00,Solar,8.0,208,Sunday,July
2020-07-26 14:00:00+02:00,2020-07-26,14:00:00,15:00:00,Solar,3301.0,208,Sunday,July
2020-07-26 16:00:00+02:00,2020-07-26,16:00:00,17:00:00,Solar,3075.0,208,Sunday,July
2020-07-26 18:00:00+02:00,2020-07-26,18:00:00,19:00:00,Solar,1843.0,208,Sunday,July
2020-07-26 22:00:00+02:00,2020-07-26,22:00:00,23:00:00,Solar,3.0,208,Sunday,July
2020-07-26 23:00:00+02:00,2020-07-26,23:00:00,24:00:00,Solar,2.0,208,Sunday,July
2020-07-27 07:00:00+02:00,2020-07-27,07:00:00,08:00:00,Solar,200.0,209,Monday,July
2020-07-28 00:00:00+02:00,2020-07-28,00:00:00,01:00:00,Solar,1.0,210,Tuesday,July
2020-07-28 07:00:00+02:00,2020-07-28,07:00:00,08:00:00,Solar,148.0,210,Tuesday,July
2020-07-28 21:00:00+02:00,2020-07-28,21:00:00,22:00:00,Solar,16.0,210,Tuesday,July
2020-07-29 01:00:00+02:00,2020-07-29,01:00:00,02:00:00,Solar,1.0,211,Wednesday,July
2020-07-29 08:00:00+02:00,2020-07-29,08:00:00,09:00:00,Solar,817.0,211,Wednesday,July
2020-07-29 09:00:00+02:00,2020-07-29,09:00:00,10:00:00,Solar,1757.0,211,Wednesday,July
2020-07-29 13:00:00+02:00,2020-07-29,13:00:00,14:00:00,Solar,3811.0,211,Wednesday,July
2020-07-30 00:00:00+02:00,2020-07-30,00:00:00,01:00:00,Solar,1.0,212,Thursday,July
2020-07-30 04:00:00+02:00,2020-07-30,04:00:00,05:00:00,Solar,0.0,212,Thursday,July
2020-07-30 07:00:00+02:00,2020-07-30,07:00:00,08:00:00,Solar,191.0,212,Thursday,July
2020-07-30 08:00:00+02:00,2020-07-30,08:00:00,09:00:00,Solar,851.0,212,Thursday,July
2020-07-30 20:00:00+02:00,2020-07-30,20:00:00,21:00:00,Solar,194.0,212,Thursday,July
2020-07-30 22:00:00+02:00,2020-07-30,22:00:00,23:00:00,Solar,1.0,212,Thursday,July
2020-07-31 05:00:00+02:00,2020-07-31,05:00:00,06:00:00,Solar,0.0,213,Friday,July
2020-07-31 11:00:00+02:00,2020-07-31,11:00:00,12:00:00,Solar,3117.0,213,Friday,July
2020-07-31 13:00:00+02:00,2020-07-31,13:00:00,14:00:00,Solar,3684.0,213,Friday,July
2020-07-31 15:00:00+02:00,2020-07-31,15:00:00,16:00:00,Solar,3428.0,213,Friday,July
2020-07-31 18:00:00+02:00,2020-07-31,18:00:00,19:00:00,Solar,1663.0,213,Friday,July
2020-08-01 02:00:00+02:00,2020-08-01,02:00:00,03:00:00,Wind,2073.0,214,Saturday,August
2020-08-01 06:00:00+02:00,2020-08-01,06:00:00,07:00:00,Wind,1742.0,214,Saturday,August
2020-08-01 13:00:00+02:00,2020-08-01,13:00:00,14:00:00,Wind,1185.0,214,Saturday,August
2020-08-01 14:00:00+02:00,2020-08-01,14:00:00,15:00:00,Wind,1544.0,214,Saturday,August
2020-08-01 19:00:00+02:00,2020-08-01,19:00:00,20:00:00,Wind,3919.0,214,Saturday,August
2020-08-02 08:00:00+02:00,2020-08-02,08:00:00,09:00:00,Wind,2603.0,215,Sunday,August
2020-08-02 16:00:00+02:00,2020-08-02,16:00:00,17:00:00,Wind,3175.0,215,Sunday,August
2020-08-02 20:00:00+02:00,2020-08-02,20:00:00,21:00:00,Wind,3320.0,215,Sunday,August
